Gene	# Structural Variant	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
KMT2D	7	7	799	0.9%	Yes
CD274	2	2	799	0.3%	Yes
BLM	2	2	799	0.3%	Yes
NOTCH1	3	3	799	0.4%	Yes
KMT2A	16	15	799	1.9%	Yes
CUL3	3	3	799	0.4%	Yes
ANKRD11	1	1	799	0.1%	Yes
KMT2C	3	3	799	0.4%	Yes
KMT2B	2	2	799	0.3%	Yes
CUL1	1	1	799	0.1%	No
ITPR2	1	1	799	0.1%	No
UBR2	1	1	799	0.1%	No
SPATA5	1	1	799	0.1%	No
STK31	1	1	799	0.1%	No
NPAT	1	1	799	0.1%	No
HMBOX1	1	1	799	0.1%	No
SOCS1	1	1	799	0.1%	Yes
ADAP2	2	2	799	0.3%	No
ZBBX	1	1	799	0.1%	No
ABL1	19	19	799	2.4%	Yes
ABL2	1	1	799	0.1%	Yes
SRGAP2	1	1	799	0.1%	No
TXNDC8	1	1	799	0.1%	No
MCL1	2	2	799	0.3%	Yes
RBPMS	1	1	799	0.1%	No
FUS	5	5	799	0.6%	Yes
KRT18P55	1	1	799	0.1%	No
FANCA	5	5	799	0.6%	Yes
FANCC	3	3	799	0.4%	Yes
MARCH8	1	1	799	0.1%	No
FANCG	2	2	799	0.3%	Yes
QKI	3	3	799	0.4%	Yes
CDK8	3	3	799	0.4%	Yes
CDK6	2	2	799	0.3%	Yes
BCL6	1	1	799	0.1%	Yes
NBEA	1	1	799	0.1%	No
CDK4	3	3	799	0.4%	Yes
BCL2	1	1	799	0.1%	Yes
MDM2	3	3	799	0.4%	Yes
NF1	10	10	799	1.3%	Yes
MDM4	1	1	799	0.1%	Yes
NF2	6	6	799	0.8%	Yes
LZTR1	2	2	799	0.3%	Yes
LCN6	1	1	799	0.1%	No
NFE2L2	2	2	799	0.3%	Yes
WRAP53	1	1	799	0.1%	No
ALK	31	30	799	3.8%	Yes
DAGLA	1	1	799	0.1%	No
FLT1	3	3	799	0.4%	Yes
FLT3	7	7	799	0.9%	Yes
ITGB2	2	2	799	0.3%	No
PTEN	12	12	799	1.5%	Yes
PIK3C2G	2	2	799	0.3%	Yes
PIK3CB	1	1	799	0.1%	Yes
ELFN1	1	1	799	0.1%	No
PIK3CG	1	1	799	0.1%	Yes
BICD2	1	1	799	0.1%	No
CDC73	4	4	799	0.5%	Yes
PIK3C2B	2	2	799	0.3%	Yes
PPP6R3	1	1	799	0.1%	No
ZNF648	1	1	799	0.1%	No
PRKG1	1	1	799	0.1%	No
DSP	1	1	799	0.1%	No
BCAS3	1	1	799	0.1%	No
GRID2	2	2	799	0.3%	No
DIS3	1	1	799	0.1%	Yes
ATRX	1	1	799	0.1%	Yes
